time,Cin,N1,N2,N3,N4,N5,Ninfty
-1,0,0,0,0,0,0,0
-0.977977977977978,0,0,0,0,0,0,0
-0.955955955955956,0,0,0,0,0,0,0
-0.933933933933934,0,0,0,0,0,0,0
-0.911911911911912,0,0,0,0,0,0,0
-0.88988988988989,0,0,0,0,0,0,0
-0.867867867867868,0,0,0,0,0,0,0
-0.845845845845846,0,0,0,0,0,0,0
-0.823823823823824,0,0,0,0,0,0,0
-0.801801801801802,0,0,0,0,0,0,0
-0.77977977977978,0,0,0,0,0,0,0
-0.757757757757758,0,0,0,0,0,0,0
-0.735735735735736,0,0,0,0,0,0,0
-0.713713713713714,0,0,0,0,0,0,0
-0.691691691691692,0,0,0,0,0,0,0
-0.66966966966967,0,0,0,0,0,0,0
-0.647647647647648,0,0,0,0,0,0,0
-0.625625625625626,0,0,0,0,0,0,0
-0.603603603603604,0,0,0,0,0,0,0
-0.581581581581582,0,0,0,0,0,0,0
-0.559559559559559,0,0,0,0,0,0,0
-0.537537537537538,0,0,0,0,0,0,0
-0.515515515515516,0,0,0,0,0,0,0
-0.493493493493493,0,0,0,0,0,0,0
-0.471471471471472,0,0,0,0,0,0,0
-0.449449449449449,0,0,0,0,0,0,0
-0.427427427427427,0,0,0,0,0,0,0
-0.405405405405405,0,0,0,0,0,0,0
-0.383383383383383,0,0,0,0,0,0,0
-0.361361361361361,0,0,0,0,0,0,0
-0.339339339339339,0,0,0,0,0,0,0
-0.317317317317317,0,0,0,0,0,0,0
-0.295295295295295,0,0,0,0,0,0,0
-0.273273273273273,0,0,0,0,0,0,0
-0.251251251251251,0,0,0,0,0,0,0
-0.229229229229229,0,0,0,0,0,0,0
-0.207207207207207,0,0,0,0,0,0,0
-0.185185185185185,0,0,0,0,0,0,0
-0.163163163163163,0,0,0,0,0,0,0
-0.141141141141141,0,0,0,0,0,0,0
-0.119119119119119,0,0,0,0,0,0,0
-0.0970970970970971,0,0,0,0,0,0,0
-0.075075075075075,0,0,0,0,0,0,0
-0.0530530530530531,0,0,0,0,0,0,0
-0.031031031031031,0,0,0,0,0,0,0
-0.00900900900900903,0,0,0,0,0,0,0
0.0130130130130131,1,0.00549037798435235,6.00679812185975e-05,9.39395944288435e-10,4.12477070362219e-16,4.22870576350666e-64,0
0.035035035035035,1,0.0163808667051527,0.000533400252299769,4.62129598908572e-08,7.70915008395803e-14,4.20214904767296e-60,0
0.057057057057057,1,0.0271520979125491,0.00146050979221165,4.36051862666993e-07,2.48208766195922e-12,6.91291806007075e-57,0
0.0790790790790792,1,0.0378053775492653,0.00282140431562828,2.06097217541616e-06,3.42009312720812e-11,4.52014247003536e-54,0
0.101101101101101,1,0.0483419972571535,0.00459674717001061,6.67525096333513e-06,2.77104176037993e-10,1.57392322594411e-51,0
0.123123123123123,1,0.0587632345337972,0.00676783825937492,1.70805440209154e-05,1.55809638551031e-09,3.39107647116642e-49,0
0.145145145145145,1,0.0690703528874002,0.00931659548802294,3.7234156482922e-05,6.71761221843212e-09,4.95575195900235e-47,0
0.167167167167167,1,0.0792646019899784,0.012225536710633,7.22955136648399e-05,2.36939112394339e-08,5.2276686146988e-45,0
0.189189189189189,1,0.0893472178288747,0.0154777621754575,0.000128622594875076,7.146207679675e-08,4.16358374989331e-43,0
0.211211211211211,1,0.0993194228566146,0.0190569374477087,0.000213728505453435,1.90184709389687e-07,2.59057030754331e-41,0
0.233233233233233,1,0.10918242613912,0.0229472768005446,0.000336206952535501,4.5702003699769e-07,1.2933620077622e-39,0
0.255255255255255,1,0.118937423502303,0.0271335270613859,0.000505634140385488,1.00897064017169e-06,5.29451432109158e-38,0
0.277277277277277,1,0.128585597677049,0.0316009519016088,0.00073245349555242,2.07394278586952e-06,1.80907418997526e-36,0
0.299299299299299,1,0.138128118442616,0.0363353165579622,0.00102784865602664,4.01084097506344e-06,5.23739974209233e-35,0
0.321321321321321,1,0.147566142768466,0.0413228729743571,0.00140360929878949,7.3590755189889e-06,1.30122419834944e-33,0
0.343343343343343,1,0.156900814954536,0.0465503453529619,0.00187199362466922,1.28973503024466e-05,2.80516532126899e-32,0
0.365365365365365,1,0.166133266769979,0.0520049161038245,0.00244559065737334,2.17110628363397e-05,5.2981109157423e-31,0
0.387387387387387,1,0.175264617590383,0.0576742121825137,0.00313718493511565,3.52671268315269e-05,8.84161322859412e-30,0
0.409409409409409,1,0.184295974533489,0.0635462918055437,0.00395962566948584,5.54945518096221e-05,1.31362842623079e-28,0
0.431431431431431,1,0.193228432593422,0.0696096315336056,0.0049257020090595,8.48687113243904e-05,1.74938217183256e-27,0
0.453453453453454,1,0.20206307477345,0.0758531137128857,0.00604802566743542,0.000126496920618366,2.10096755534937e-26,0
0.475475475475476,1,0.210800972217295,0.0822660142650001,0.00733892185033758,0.000184202738048724,2.28813158773886e-25,0
0.497497497497497,1,0.219443184338999,0.0888379908163168,0.00881032913820121,0.000262606307478698,2.27123283231383e-24,0
0.519519519519519,1,0.22799075895137,0.0955590711576733,0.0104737087439286,0.000367198069922919,2.06428172416078e-23,0
0.541541541541541,1,0.236444732393028,0.102419642025728,0.012339963365439,0.000504403285700594,1.72523975137808e-22,0
0.563563563563564,1,0.24480612965405,0.109410438197411,0.0144193656849208,0.000681635012697982,1.33109160404134e-21,0
0.585585585585586,1,0.253075964500244,0.116522531889156,0.0167214964274322,0.000907333468564043,9.5153299691482e-21,0
0.607607607607608,1,0.261255239596062,0.12374732245281,0.0192551917772048,0.00119099004930948,6.32360915351307e-20,0
0.62962962962963,1,0.26934494662617,0.131076526360323,0.0220284998575536,0.00154315466743146,3.91921845323664e-19,0
0.651651651651652,1,0.277346066415676,0.138502167469537,0.0250486459068885,0.00197542549280757,2.27198540664657e-18,0
0.673673673673674,1,0.285259569049055,0.146016567563567,0.0283220057264618,0.00250042061324598,1.23532313050648e-17,0
0.695695695695696,1,0.293086413987765,0.15361233715648,0.0318540869329355,0.00313173156394559,6.31609329810295e-17,0
0.717717717717718,1,0.300827550186572,0.16128236655816,0.0356495175186321,0.00388385909297563,3.04415386600878e-16,0
0.73973973973974,1,0.308483916208607,0.169019817191435,0.039712041202666,0.00477213192184228,1.38621614318759e-15,0
0.761761761761762,1,0.316056440339161,0.176818113154696,0.0440445190454849,0.00581260961689139,5.97698148474445e-15,0
0.783783783783784,1,0.323546040698235,0.184670933023468,0.0486489367962758,0.0070219710013924,2.44516656697259e-14,0
0.805805805805806,1,0.330953625351851,0.192572201884486,0.0535264174459975,0.00841738980439116,9.50938048584702e-14,0
0.827827827827828,1,0.338280092422155,0.200516083596072,0.0586772384673921,0.0100163994574848,3.52217697009974e-13,0
0.84984984984985,1,0.345526330196305,0.20849697326871,0.064100853236263,0.0118367491130361,1.24463707487856e-12,0
0.871871871871872,1,0.352693217234172,0.216509489959912,0.0697959161447431,0.0138962530670889,4.20307122260493e-12,0
0.893893893893894,1,0.359781622474858,0.2245484695776,0.0757603109364854,0.0162126358288629,1.35852642411965e-11,0
0.915915915915916,1,0.366792405342052,0.232608957986395,0.0819911818150608,0.018803375088844,4.20919481402589e-11,0
0.937937937937938,1,0.373726415848226,0.240686204311323,0.0884849668997775,0.0216855448027836,1.25193387814568e-10,0
0.95995995995996,1,0.380584494697696,0.248775654433634,0.0952374336271868,0.0248756605336952,3.5793861381254e-10,0
